low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,regional_mobility,student_feature,repayment_capability,is_high_user,number_of_trans_from_2011,first_transaction_time,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,avg_consume_less_12_valid_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,reg_preference_for_trad,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,status,first_transaction_day,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,loans_latest_day
0.02,0.98,0,0.88,1.0,0.315,14.0,26.0,26.0,1.0,1.0012121212121212,9610,0,11.0,20170424.0,141520,104.0,0.45,32340,7.0,2730,0.3,990,0.55,1.0,13.0,14.0,13.0,14.0,0.0,1.0,7.0,7.0,1646776.0,1630,21.0,0.0,0,14600,0.0,0,392.0,89.0,529.0,74.0,12.0,7.0,3.0,17.0,4.0,6.0,9.0,488.0,77.0,28.0,25.0,1.0,15.0,5.0,10.0,0.0,0.0,6.0,31.0,13.0,0.0,0.0,325.0,1800.0,75.0,10.0,11.0,2300.0,1660.0,7900.0,79.0,5.0,5.0,20400.0,6920.0,23.0,139.0
0.01,0.99,400,0.6,0.79,0.306,17.0,42.0,13.0,2.0,1.0,9330,0,31.0,20141010.0,198260,248.0,1.0,2430,7.0,5880,1.0,1700,0.45,1.0,0.0,12.0,0.0,12.0,0.0,1.0,4.0,6.0,0.0,0,3.0,0.0,0,10210,0.0,1,1319.0,157.0,618.0,77.0,21.0,11.0,5.0,30.0,17.0,20.0,29.0,591.0,72.0,16.0,13.0,0.0,8.0,3.0,5.0,0.0,0.0,8.0,14.0,7.0,0.0,0.0,347.0,3200.0,72.0,5.0,6.0,4300.0,2140.0,3100.0,77.0,3.0,4.0,7200.0,3333.0,7.0,144.0
0.0,1.0,0,5.44,1.0,0.17,15.0,29.0,24.0,3.0,1.0012121212121212,9450,0,9.0,20170619.0,53490,46.0,0.75,10380,6.0,1270,0.65,1330,0.45,1.0,3.0,25.0,3.0,25.0,0.0,0.0,2.0,3.0,0.0,240,2.0,0.0,0,0,0.0,0,336.0,98.0,549.0,75.0,8.0,3.0,2.0,11.0,2.0,3.0,4.0,490.0,77.0,21.0,19.0,4.0,14.0,7.0,7.0,1.0,3.0,8.0,28.0,10.0,1.0,0.0,333.0,1800.0,76.0,7.0,7.0,3500.0,1700.0,10100.0,80.0,7.0,7.0,33600.0,9742.0,27.0,27.0
0.04,0.96,0,0.76,1.0,0.391,15.0,9.0,11.0,2.0,1.0012121212121212,13560,0,8.0,20170728.0,70730,94.0,0.35,23790,5.0,3740,0.15,1020,0.55,1.0,7.0,9.0,7.0,9.0,2.0,1.0,7.0,7.0,588058.0,2580,3.0,0.0,0,7690,0.0,0,297.0,87.0,540.0,74.0,19.0,9.0,6.0,25.0,10.0,15.0,18.0,545.0,73.0,29.0,22.0,3.0,15.0,4.0,11.0,2.0,6.0,20.0,27.0,21.0,0.0,2.0,302.0,2200.0,72.0,11.0,12.0,2900.0,2109.0,5500.0,79.0,4.0,4.0,8400.0,5475.0,8.0,2.0
0.03,0.97,3000,1.68,0.75,0.525,24.0,14.0,15.0,2.0,1.0,12840,0,24.0,20150724.0,212990,243.0,0.7,16850,7.0,2390,0.65,660,0.6,3.0,0.0,14.0,0.0,14.0,0.0,4.0,4.0,4.0,0.0,650,5.0,0.0,0,25280,0.0,1,1032.0,86.0,539.0,81.0,7.0,3.0,3.0,9.0,0.0,2.0,3.0,494.0,74.0,39.0,36.0,1.0,14.0,3.0,11.0,1.0,2.0,5.0,41.0,12.0,1.0,5.0,332.0,2600.0,72.0,11.0,12.0,4000.0,2172.0,3300.0,83.0,3.0,3.0,13200.0,7600.0,40.0,19.0
0.01,0.84,400,3.78,0.76,0.138,16.0,35.0,27.0,5.0,1.0,15970,0,22.0,20151018.0,86560,77.0,0.35,14830,7.0,380,0.2,1890,0.35,1.0,11.0,19.0,11.0,23.0,0.0,1.0,1.0,2.0,582.0,3240,2.0,0.0,890,18520,0.0,1,946.0,86.0,607.0,81.0,8.0,3.0,2.0,11.0,3.0,8.0,8.0,575.0,75.0,9.0,9.0,1.0,5.0,3.0,2.0,1.0,3.0,6.0,13.0,0.0,2.0,0.0,343.0,3100.0,72.0,2.0,2.0,6000.0,3550.0,5600.0,80.0,3.0,3.0,13200.0,7000.0,13.0,7.0
0.01,0.99,0,2.71,0.46,0.11,14.0,38.0,39.0,2.0,1.0,11410,0,12.0,20151209.0,20350,35.0,1.0,1210,6.0,330,1.0,840,0.6,1.0,0.0,29.0,0.0,29.0,0.0,0.0,0.0,2.0,0.0,0,2.0,0.0,0,0,0.0,1,894.0,122.0,618.0,83.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,578.0,74.0,5.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,357.0,1500.0,73.0,2.0,3.0,1800.0,1450.0,3600.0,78.0,1.0,1.0,3600.0,3600.0,162.0,148.0
0.0,0.49,1000,1.19,1.0,0.669,21.0,22.0,20.0,4.0,1.0,30310,0,19.0,20160818.0,642140,318.0,0.45,79410,8.0,17130,0.4,1290,0.55,1.0,22.0,22.0,22.0,22.0,0.0,1.0,7.0,7.0,0.0,1540,8.0,0.0,1540,49960,0.0,0,641.0,82.0,537.0,74.0,11.0,7.0,4.0,16.0,3.0,12.0,13.0,494.0,76.0,90.0,76.0,6.0,27.0,9.0,18.0,0.0,0.0,29.0,91.0,48.0,0.0,0.0,348.0,2300.0,75.0,18.0,19.0,4800.0,1850.0,12500.0,79.0,9.0,9.0,19200.0,6944.0,14.0,91.0
0.01,0.99,0,4.13,1.0,0.413,16.0,51.0,22.0,2.0,1.0012121212121212,16300,0,13.0,20170220.0,290760,152.0,0.75,8650,7.0,6730,1.0,1220,0.5,1.0,0.0,51.0,0.0,51.0,0.0,0.0,4.0,4.0,0.0,470,10.0,0.0,0,14720,0.0,0,455.0,90.0,531.0,71.0,9.0,5.0,4.0,11.0,1.0,5.0,5.0,494.0,75.0,65.0,65.0,1.0,11.0,2.0,9.0,0.0,1.0,10.0,88.0,14.0,0.0,0.0,354.0,2400.0,74.0,9.0,10.0,3000.0,2088.0,18000.0,77.0,2.0,2.0,25200.0,15150.0,22.0,85.0
0.24,0.65,1000,3.74,1.0,0.708,29.0,13.0,15.0,1.0,1.0,8010,0,32.0,20150716.0,655570,525.0,0.3,11820,8.0,4080,0.05,230,0.85,1.0,12.0,13.0,12.0,13.0,1.0,7.0,7.0,10.0,80.0,2810,63.0,0.0,0,5700,0.0,1,1040.0,82.0,545.0,70.0,29.0,14.0,10.0,51.0,19.0,25.0,37.0,484.0,73.0,66.0,44.0,21.0,14.0,5.0,9.0,1.0,5.0,22.0,52.0,171.0,0.0,20.0,349.0,1700.0,72.0,9.0,11.0,2200.0,1633.0,12000.0,75.0,5.0,5.0,22800.0,8240.0,2.0,16.0
